id,review,true_star,tfidf_prediction,textcnn_true_star,textcnn_prediction,tfidf_correct,textcnn_correct,only_correct_model
40001,这里的自助餐一直在我的必吃List里，结果失望而归唉！！首先酒店的装潢毋庸置疑，从里到外都独树一帜，连洗手间也是挺有特色。\\n\\n这里的自助餐的食物不是自取，是用平板电脑下单，有些无限制数量，而主食牛扒、小龙虾、鱼翅、燕窝、鲍鱼仔就是限量，问题是都很一般！牛扒小龙虾都好小喔！小鲍鱼口感不是一般的差，完全嚼不烂，下面配的饭有点过酸，醋加多了。三文鱼甜虾刺身不怎么新鲜似的。唯独那个尖笋、凯撒沙拉、小八爪鱼、带子、焦糖炖蛋还可以。值得说下，食物的卖相都与图片完全不符，也听到有人投诉实物与图片相差太远呵呵。\\n\\n有个女服务员也是让我醉了，给别桌加果汁后，经过我这也不给我加上反而给旁边一桌加上，没看到我杯里都没了嘛，再来，让她给我根吸管，直到最后吃完了也没拿来。\\n\\n自助餐餐厅的观景位要不要也罢，晚上看出去一片乌漆麻黑，只能看到一点CBD的楼宇，谈什么观夜景，只有车可看。\\n\\n说实话，这里的出品真的都不值一提。很失望咯，不会考虑再来这吃自助餐。,3,3.0,3,2,True,False,tfidf
45502,我一直以为很多人点赞的店一定是好吃的，如果有一两颗星肯定是故意黑的，绝对是…然而这次我破天荒的只给了一颗星，而且这一颗星还是给疙瘩汤的，除此之外我点的三个菜都难吃且贵！\\n       要知道我和老公是在外面颠了一天，八点多才找到这家藏在居民楼里的店，周围的小巷又深又黑，我们几次拿大众点评出来确认没走错。\\n      刚进店子我们充满了希望啊～满墙都是明星相片，感觉很厉害的样子，所以点菜的时候简直看花眼，这个好想要，那个点赞的人多也好想要！\\n      #疙瘩汤#特色疙瘩汤真的很好吃，毕竟是靠这个起家的嘛，绿色估计是菠菜汁，黄色是南瓜汁，嚼起来有韧性，大虾也有几只，吃得满爽口！\\n      #大葱螺片#内陆城市的人对海货比较向往，点了一只海螺，居然快一斤！白色螺片配绿色大葱看起来很清爽的，咸得快齁死！！！叫厨师回了一遍火，终于能吃了。\\n     #清炒大头菜#excuse me～你确定是清炒不是油闷？感觉菜是泡在油里的哦，比一般家里炒的还油哦，不要告诉我青菜不油不好吃哦，我可是刚刚从盐堆里爬出来哦！\\n    #砂锅烧鱼#这个是我吃过最难吃的鱼，没有之一！而且88/斤，我们一个菜两斤鱼就浪费176！我就呵呵了，那么多好评是刷出来的吗？又老又腥又油！毫无亮点甚至连卖相都没有，你确定不是厨师烧了一天的菜在闹脾气？！买单的时候跟小妹抱怨鱼根本没法吃，她说鲅鱼是这个样子的哦，现在吃肥美有籽，我说你确定你翻翻看这个鱼肉，她一看真的好柴…给这位没瞎的小姑娘点赞！！\\n       最后买单的时候有个阿姨也在抱怨鱼难吃，海参也没发好，突然有点同情她，都浪费了有木有！老公说就当是走路掉了200块，不要生气…听到服务员说菜没动给打个折，店家跟我便宜了10几块钱，还用了大众的券，2个人总归花了300，还好是上班族，学生党要吓尿。我想说下班跟厨师开个会吧，这样下去店要垮啊！,1,1.0,1,5,True,False,tfidf
14323,因为要请客，特意问了当地的同事，给推荐的这里。话说进门没有人接待，我们转悠了半天也不知道可以坐在哪里？上来推荐办会员卡，拒绝了，但是发现会员价和门市价差别还真的蛮大。点菜的小伙子明显业务不熟悉，我每点一个菜要等他抄写完才可以，上菜的速度到是可以，菜的口味也还行，还有就是收盘子的时候我发现有盘子边上有汤汁，特意提醒他收的时候不要洒在别的菜上，结果依然是一路把汤汁洒在三盘菜里，最后结帐时每人都有一个茶位费不能理解，没有提供任何一次性的用品，茶我们也没有喝，为何要收取这个费用？回应是，我们好福记就是这样，每个人都收的。总结，菜的口味还可以，不用会员卡价格偏贵，且服务一般。,3,3.0,3,2,True,False,tfidf
31637,看到朋友圈发的要提前定，周六就预定了，没想到才订到周二，周二当天下午就接到电话告诉了我们具体座位在哪，可想而知生意有多好，毕竟新开的星级酒店，还买一送一，谁不动心啊。下午7点10分到地方停车场都快满了，还好很多吃饭的人还没来，食物与一般自助餐店差不多，环境挺好的。值得一提的是沙拉种类丰富，而且味道差别都很大很有特色，现烤出来的奶酪千层肉酱面真是太好吃了，烤香肠在热着的时候吃特别香。最后还有一个印象深刻的是一道甜点，白巧克力上面粘着杏仁，覆盖着糕点，糕点里面是粉色的奶油，平时自助不吃甜点的我一下吃了两个。鲍鱼随便吃，每人半只龙虾，唯一遗憾的是大闸蟹的季节木有大闸蟹,5,5.0,5,4,True,False,tfidf
33032,第一次尝试这种菜，很稀奇，家里餐桌材料的大理石用来当石锅，扑哧扑哧冒冒烟，一块抹布一擦，倒入清汤和鱼，盖上草帽，十分钟左右烟冒的云里雾里的就好了打开草帽，哇靠，学白学白的汤，没明白家里炖鱼一个多小时也没他白，不知道汤水里加了什么材料。一喝汤，特鲜美。点的回鱼和翁公鱼，刺少肉质嫩。鱼吃好汤喝的差不多再下各种蔬菜，个人觉得娃娃菜在汤里煮着最好吃了。点了黄喉，18元，但量很少，与其他火锅店的价格数量相比，贵了。蔬菜的性价比还行，普遍量少。不过有道菜大家千万别点，就是虾滑，口感像吃的胶水，感觉是假的，一丁点虾味都么有。服务人员态度很好，店里生意红火，都很忙，我问了好多问题都不厌其烦很有耐心解答。,5,5.0,5,4,True,False,tfidf
45460,感觉最近这家店很火啊，虽然家住汉口离菱角湖更近，还是跑到凯德1818店去感受一下。听说要排队，十点半就到了，但是10:50才开门。。等了一会，进去之后没多久大概十一点差不多都坐满了。环境很有特色，但是手机拍照有点不适合，光线太暗，碗和杯子挺好看的。。然后说菜。。【羊肉串】上上来不热，估计是生意太好，事先准备好的，稍微有点咸但是羊肉味很正。【孜然蒜香鲈鱼】是风干的那种鲈鱼，肉吃起来有点小嚼劲，撒了蒜蓉在上面感觉有点像在吃烤海鲜，还不错。【烤羊排】点的小份，肥肉偏多，但是我就是超级喜欢吃肥的羊肉，这种肥瘦相间的感觉超级棒，蘸酱味道也很棒，这道菜我最满意。【馕包肉】馕比肉好吃，哈哈。因为烧羊肉的汤汁浸在了馕里，中间软软的有羊肉味，旁边有点焦焦的，脆脆的，肉也挺好，感觉挺新鲜的，就是太大块了，稍微有点嚼不烂。【大盘鸡】感觉就是一般的土豆烧鸡，没吃过正宗的，也不好评价。。但是皮带面太棒了！！伴着大盘鸡的汤汁，味道好还很有嚼劲。【拔丝红薯】中规中矩的一道菜，分量也还可以，三个人吃刚好【酸奶】这个酸奶我超喜欢，说它比超市买的那种酸一点但是又很甜，反正很酸跟很甜同时存在（不知道咋表达T^T），反正吃了一堆肉解腻很不错。虽然爹妈说有点特色，味道不是很惊艳，尝一次就够了，但是我觉得还想再去，不过不能这样都点的大菜，腻死宝宝了，下次再去再试试别的。对了，吃完出去的时候，发现门口站了一堆人在等，也没闲着，全都在啃馕或者吃羊肉串，我在想他们这吃饱了还要不要进去，哈哈哈。反正感觉还不错，只是不值得排队排那么久的一家店。,4,4.0,4,5,True,False,tfidf
17677,好，不错整体评价。性价比没有以前高，牛三星汤没有鲜甜的味道了，淡而无味下只有酸萝卜的味道了。肠粉一如既往的皮薄，但料却少得很，牛肉肠共3片肉，虾肠就3顆虾仁。罗汉斋肠不够正宗。艇仔粥料很足，很不错。位置很好找，交通方便。服务态度很不错，就是出菜太慢了，等得黄花菜都有点谢了，哈哈。尽管如此，我应该还是会去光顾。在淘金这位置上，绝对是上班族最经济的午餐了，而且比很多快餐健康，不会油腻腻。只顾着吃，最后才记得照下相。,4,4.0,4,5,True,False,tfidf
44858,天津的早点连锁店，每次去天津下高速一直走过了金狮桥就是，在古文化街斜对面，大胡同旁边，是去天津的第一站。北马路这家人很多，不少都是慕名而来的游客，各种早点都买来尝过，鸡蛋果子吃一个就饱，太实在了，锅巴菜名气很大但没有想像的好吃，应该是天津人最传统的早点了，炸糕的豆馅很香醇，烧饼夹肉也不错，还买过紫薯面的窝头，但最近几次去都没有了。最好吃的是一种酥皮烧饼，有白糖馅，豆沙，咸甜的，很大的一只像月餅，每次都会带回一些。,4,4.0,4,5,True,False,tfidf
41302,非常值得去的一家餐厅，以前在光谷也去过今天刚好和朋友看电影路过，一直不知道这边也有一家。上次感觉这家餐厅还不错所以就进去了。一进去服务员特别的热情，一进去一个美女大声叫了一声什么来这给忘了然后全部都是打招呼的声音，真的特别热情，然后那个围兜也特别的可爱，还有刚刚一坐下一个帅哥立马过来给我手机套上手机套，觉得世界都是大爱啊。可惜的是只可以点套餐，想吃的菜没有点到。下次还可以过来嘛。石锅豆腐真的特别的好吃，这个是影响比较深刻的一道菜。唯一不好的是太吵了，说话不怎么方便。还有就是给我烤肉的美女一直吃完了也没用给我说一句话还是吃饭快结束的时候，还是那个帅哥又过来问我用餐体验，不知道是因为太吵了，还是那个帅哥说话声音比较小，说了几次才听清楚，还是有点生气的，最后听清楚他说，你吃得还开心吗，我说了一句，太吵了然后他说，因为我们这是主题餐厅可能比较吵，实在是不好意思啊！最后买单的时候还给我打了六折。对于这次用餐，还是比较满意的希望下次过去没有那么吵。,5,4.0,5,5,False,True,textcnn
5124,今天中午本想去食饭的，去到见到张台无人就也无写住留座，大声叫服务员也无人理于是就坐低，冲茶个靓仔仲开左茶位，点知过左一阵一个着住黑色衫四十岁左右既女人话张台有人订左叫我去大门口拿号，甘我就问距点解之前又无人讲，又无放个留位既牌，个后门开左有客入黎又无人招呼，不如关左距，点知个女人仲大声到西甘闹翻我转头，你地请甘多人都无人做野个个栋晒系到吹水都吾做野，安排得吾好仲要发客人烂炸，我想同老细讲句你请D甘既人做野真系揾到食都会差人钱，服务态度甘恶劣D菜煮得几好食都无用，差评！负分！,1,3.0,1,1,False,True,textcnn
